id,txnrefid,custno,acctno,channelcode,overallqual,grlivarea,garagecars,ageofhouse,saleprice
1076,45fcec20-f03c-4ea8-ab61-d7ef3a5c1b52,12341138,45671425,LOAN,4,952,1,64,135750
1077,8756c45e-9c62-473b-89cb-fd619d7238d7,12341221,45671537,LOAN,5,1285,1,72,127000
1078,31c945a1-7d7b-4a3b-91d1-ea85d4f9816e,12341239,45671229,LOAN,4,1768,0,52,136500
1079,3f907031-6d96-4d32-afb9-12726e0a19cc,12341179,45671928,LOAN,5,1230,2,110,110000
1080,cacb67c8-1406-436b-8907-f1dca9b77ebb,12341105,45671154,LOAN,6,2142,1,52,193500
1081,b307bd3b-248b-4e95-a2d4-e5273d4cef16,12341149,45671004,LOAN,6,1337,2,22,153500
1082,a2c44c68-45d8-4a4c-bf2a-df67f24466f1,12341237,45671422,LOAN,8,1563,3,13,245000
1083,f1b46dcf-81a9-4c6e-9a6d-dc1f6153cf22,12341165,45671536,LOAN,5,1065,2,60,126500
1084,9ccb4936-c8aa-4c7f-b477-d731e78dd06e,12341163,45671274,LOAN,7,1474,2,25,168500
1085,b09ec1d0-63ad-4ece-8d9e-a285b3986b00,12341218,45671434,LOAN,8,2417,2,29,260000
1086,d0bea5e9-c411-4593-ad27-da1fa2cb125e,12341108,45671395,LOAN,6,1560,2,15,174000
1087,d8df8a5b-3a77-4006-aef0-c238b3aa09c0,12341027,45671025,LOAN,6,1224,2,11,164500
1088,d039b508-edb5-4d1c-bdc6-633399d5b114,12341249,45671749,LOAN,3,1526,0,105,85000
1089,7bffb3a2-c89a-409f-be58-a30c02876dc1,12341242,45671143,LOAN,4,990,0,26,123600
1090,6587c53f-ad5b-49c5-8a2f-e878765b0e67,12341111,45671421,LOAN,4,1040,2,70,109900
1091,406e528a-df87-45c3-ad32-ea251f4ed9ae,12341017,45671150,LOAN,5,1235,2,59,98600
1092,2868f028-ee8d-4e81-add9-0218979c0910,12341142,45671664,LOAN,5,964,2,99,163500
1093,cd02b215-7445-4c48-97fd-8b0b2eff2c08,12341147,45671188,LOAN,6,2291,2,110,133900
1094,00bc3c72-b5a4-4731-962c-786e87f2a3e8,12341173,45671774,LOAN,6,1786,2,23,204750
1095,4a67c4fd-a8c9-4ff1-b445-03a86885cf42,12341249,45671370,LOAN,6,1470,2,27,185000
1096,09d62cd7-44c9-4d4a-abc1-9ab1d6dac569,12341131,45671539,LOAN,7,1588,2,21,214000
1097,085db4f2-4cea-42fd-8199-096f16acbdee,12341151,45671698,LOAN,4,960,1,55,94750
1098,e909b287-e4a9-47e9-b564-bf292dad9154,12341027,45671445,LOAN,5,835,1,100,83000
1099,6524c2ae-e4ee-4ad9-a29d-73491581d74a,12341065,45671569,LOAN,4,1225,0,61,128950
1100,e13cb0f2-dc1b-4a7a-b880-ee00cd34b5a7,12341095,45671086,LOAN,6,1610,2,43,205000
1101,03b8db62-2d09-45c3-8fc2-c33cb81c5437,12341152,45671415,LOAN,6,1732,2,35,178000
1102,84f8d74c-4bf6-4df6-a866-a7ab73e87594,12341098,45671336,LOAN,5,1535,2,41,118964
1103,384b21f7-3ffd-4f75-b154-989eedb45235,12341122,45671341,LOAN,7,1226,3,11,198900
1104,bdb11d46-35f5-4db2-9d07-86dddd8e5a81,12341163,45671014,LOAN,7,1818,1,89,169500
1105,5ef7c242-965d-439b-80fa-daaaff5a09cb,12341151,45671353,LOAN,8,1992,2,17,250000
1106,bf359b42-0274-419d-b0b8-db8d70c84414,12341115,45671927,LOAN,4,1047,1,135,100000
1107,5b0f3dec-6196-4933-bfde-3325c147eeff,12341054,45671668,LOAN,5,789,1,72,115000
1108,c6c92260-a464-48f4-bb6f-26cc8cb3b388,12341161,45671677,LOAN,5,1517,0,101,115000
1109,e7cf190f-ed23-46ab-90ad-d519d9874fdc,12341007,45671992,LOAN,6,1844,2,43,190000
1110,e4e89b4a-2c70-4e75-98ee-b066513fbd8b,12341017,45671560,LOAN,6,1855,1,66,136900
1111,1bafecdd-34f2-4b4a-b461-664fca1f7a51,12341220,45671459,LOAN,7,1430,2,20,180000
1112,9bb96f63-562b-41fc-97bb-c0d2308fb7d2,12341073,45671136,LOAN,7,2696,3,13,383970
1113,b9d90868-0fb3-4e8e-b29f-a5df4c0bc866,12341064,45671151,LOAN,6,2259,2,67,217000
1114,69a1696c-e779-40f9-8e99-93c06b377954,12341216,45671700,LOAN,6,2320,1,75,259500
1115,e21350a7-f81f-44d6-8e4f-62c42f6486e1,12341086,45671792,LOAN,6,1458,2,21,176000
1116,cbf0ab7d-97e2-44cc-ba0c-ba3d1f602c76,12341180,45671255,LOAN,5,1092,1,58,139000
1117,a7dab271-805d-4959-8568-e8e4b9635cf9,12341117,45671505,LOAN,5,1125,2,14,155000
1118,aac1f4b4-7123-40f7-80bf-2d09494a4c02,12341150,45671937,LOAN,7,3222,3,30,320000
1119,11808d9e-5dcf-4e16-980b-150732370915,12341172,45671859,LOAN,6,1456,2,15,163990
1120,f5373260-1b42-44d3-b1c2-0d43f0ef86d3,12341110,45671939,LOAN,6,988,2,51,180000
1121,d80e54a5-2271-4e71-b1be-88ef139172ff,12341011,45671967,LOAN,4,1123,1,81,100000
1122,73ce7d5e-7d0a-40de-b71d-ea49659c062e,12341149,45671175,LOAN,6,1080,1,62,136000
1123,c30d5da8-55aa-428e-97f2-ae93a9905111,12341116,45671476,LOAN,6,1199,2,27,153900
1124,f2ef987b-2777-4c71-a5c3-8ab2e7f1c143,12341029,45671316,LOAN,6,1586,2,41,181000
1125,2dac3aef-7b68-47d8-9f15-8e3e9eb75f3a,12341236,45671469,LOAN,6,754,0,85,84500
1126,555da424-5470-4894-9b37-f4b5dbcfe076,12341129,45671755,LOAN,6,958,2,44,128000
1127,e3247732-da09-412b-85a9-ee9b00462f87,12341150,45671059,LOAN,5,840,0,90,87000
1128,62232263-f41b-46ed-8c98-f7aaa3e60f98,12341011,45671235,LOAN,6,1348,2,54,155000
1129,c67721b0-afae-49ea-b9a2-27047b00172a,12341022,45671784,LOAN,5,1053,2,62,150000
1130,11e357ef-e958-4ab1-9f2c-dc0d1ce83a48,12341229,45671353,LOAN,7,2157,2,54,226000
1131,cc83ab51-aa48-4996-a008-acdc7de57938,12341170,45671971,LOAN,6,2054,2,20,244000
1132,837c367a-7332-4ca6-b5a8-cfa1e269d7e3,12341186,45671314,LOAN,5,1327,2,61,150750
1133,a75d9809-881e-4694-9d0c-e8a994fd7788,12341153,45671173,LOAN,8,1296,2,19,220000
1134,b42440cd-39c4-4449-8ecd-245eb716b070,12341045,45671658,LOAN,5,1721,2,52,180000
1135,07843130-d072-4f54-9a7e-bc1a48ae923a,12341225,45671203,LOAN,7,1682,2,50,174000
1136,7397cfd5-c207-4fdb-84b0-1592c8316762,12341157,45671611,LOAN,5,1214,1,53,143000
1137,206a30d2-8292-4887-81a0-881e8de3edd4,12341055,45671804,LOAN,7,1959,3,32,171000
1138,89e58eda-1b1b-4ef0-9144-b8c48aaf3cc0,12341121,45671341,LOAN,8,1852,3,21,230000
1139,b20dc427-ba3c-425b-96d9-2ec801a66fa8,12341135,45671320,LOAN,6,1764,2,23,231500
1140,66527d10-85e5-4f70-a969-67625f68329f,12341100,45671508,LOAN,4,864,0,49,115000
1141,d5b31c99-5018-4ea2-92dc-5070d958908e,12341037,45671609,LOAN,7,1734,2,15,260000
1142,8af9de1b-babf-43d2-b950-3f164a697db2,12341092,45671972,LOAN,5,1385,2,68,166000
1143,9e3f2150-a5d8-42cd-a9c1-73389a6996f2,12341215,45671055,LOAN,7,1501,2,21,204000
1144,86e8566c-28e5-4343-bba0-98a8c174f6e6,12341148,45671893,LOAN,5,1728,2,57,125000
1145,f2036266-f8e7-4230-bbb0-902e322805b5,12341154,45671339,LOAN,6,1709,2,16,130000
1146,a34babe1-bfd4-49b9-92e8-6583ab859385,12341115,45671152,LOAN,5,875,1,89,105000
1147,70d6beeb-1fca-49fd-86c8-7654788fadd3,12341174,45671416,LOAN,7,2035,2,19,222500
1148,0a24fdfb-12d3-4ccd-b540-1cb484d6f8de,12341216,45671954,LOAN,7,1080,0,16,141000
1149,b616ecfc-7214-4176-838c-61b243c6c29c,12341197,45671077,LOAN,5,1344,1,84,115000
1150,1ac2ffb4-0914-4f77-a228-f6829d16b3a7,12341096,45671107,LOAN,5,969,2,45,122000
1151,81f1d3c0-5bce-41c5-8b9c-6f60b56a3132,12341184,45671064,LOAN,8,1710,3,13,372402
1152,bb2bd5e8-7eab-4845-81e3-20a34083e458,12341105,45671313,LOAN,6,1993,2,49,190000
1153,50497a78-685f-4849-a6bc-d7c8997b6e0b,12341241,45671415,LOAN,6,1252,2,60,235000
1154,5214f4e4-7c38-4da2-baa3-1b01c278f018,12341076,45671615,LOAN,6,1200,1,97,125000
1155,2ce1b467-3ffa-425a-9ce2-768f21c06813,12341010,45671165,LOAN,6,1096,0,96,79000
1156,29cc4784-92a0-4f8d-bc21-da1fde7ed447,12341034,45671395,LOAN,5,1040,2,70,109500
1157,d78d6da5-9069-4f53-a098-984d91b272fe,12341144,45671254,LOAN,8,1968,3,11,269500
1158,54d1a351-2c35-4460-8e72-c63cc760b107,12341039,45671503,LOAN,7,1947,2,16,254900
1159,cc9a02cc-2c75-47dc-9fb1-eb59d58aa05e,12341185,45671836,LOAN,7,2462,2,15,320000
1160,e9257957-400f-41a5-a4f5-0c68ff4f8fb5,12341158,45671511,LOAN,6,1232,2,36,162500
1161,460c04dd-e5e9-45d5-82a8-66a6d50b081f,12341126,45671197,LOAN,9,2668,3,17,412500
1162,d0011112-9035-48d1-8eaa-d000b5aef8b6,12341060,45671824,LOAN,7,1541,2,15,220000
1163,b05d30cc-9f35-42f4-b540-086352748d96,12341157,45671134,LOAN,4,882,0,64,103200
1164,066e51c1-dd73-426d-a86e-c8a372533116,12341104,45671385,LOAN,6,1616,1,94,152000
1165,37a6652b-fa82-46c2-a395-e6c7dd36aed9,12341171,45671406,LOAN,5,1355,0,80,127500
1166,35a87ba0-65b1-4334-8455-ee66afb79524,12341059,45671651,LOAN,5,1867,1,65,190000
1167,72826bb2-0916-4801-95a0-f301b0c3ce2f,12341055,45671523,LOAN,8,2161,3,13,325624
1168,b71e980a-7dda-419f-8d44-288c239acd55,12341192,45671524,LOAN,7,1720,2,16,183500
1169,3d3b794c-4cfe-443e-8dc6-e498a24dc702,12341192,45671513,LOAN,8,1707,2,39,228000
1170,8c2484d2-d68a-40a3-b04b-867549f7ef28,12341185,45671223,LOAN,5,1382,2,79,128500
1171,b84e7aa8-18e2-44ec-8870-42bdfb9d1216,12341035,45671593,LOAN,6,1656,2,60,215000
1172,f5d4c451-f3a0-427f-abfd-917d9872e0b7,12341012,45671261,LOAN,7,1767,2,33,239000
1173,f2c5a846-a633-41ce-8e9e-6336810ee7b6,12341162,45671186,LOAN,6,1362,2,59,163000
1174,37f6e908-dbaa-4167-8703-c4435c8831a2,12341009,45671263,LOAN,6,1651,2,34,184000
1175,4a05988f-353d-4652-97fb-44ded0f1470c,12341155,45671240,LOAN,6,2158,2,70,243000
1176,1cbc88ba-a0c2-42eb-99c5-30754e6c2a8f,12341207,45671847,LOAN,6,2060,2,32,211000
1177,b4c6ae45-b703-4be0-ae04-34eea1e874d0,12341025,45671710,LOAN,5,1920,2,62,172500
1178,dbae9fa8-73db-4dad-bcf4-f27b216077bb,12341195,45671606,LOAN,9,2234,3,12,501837
1179,c08b5b38-5089-48a0-bb1d-c924c0eaabda,12341010,45671879,LOAN,5,968,2,97,100000
1180,c9e2c8bf-d919-429a-8498-875c74714e02,12341016,45671783,LOAN,6,1525,2,20,177000
1181,16ff82c3-eb6b-4bd9-9903-b5819d6db175,12341051,45671858,LOAN,7,1802,1,100,200100
1182,49445d41-b87d-49fa-8995-1c88f7b3acef,12341238,45671577,LOAN,5,1340,1,63,120000
1183,69a92470-6510-4701-a6e9-777023d88907,12341146,45671059,LOAN,7,2082,2,17,200000
1184,6ff82041-45a5-42ad-9491-da1a816a254f,12341075,45671306,LOAN,5,1252,2,112,127000
1185,1aca325f-0ec3-4a23-82b8-c7b51ee8d407,12341164,45671265,LOAN,10,3608,3,128,475000
1186,5d5933ca-5e43-4fbf-bf31-12ff7fb57129,12341069,45671156,LOAN,7,1217,2,30,173000
1187,2a74bbf1-5d65-432b-a834-446239365f2c,12341005,45671858,LOAN,5,1656,1,104,135000
1188,c03e12cd-f21b-4924-b665-96244a7a416f,12341060,45671531,LOAN,5,1224,2,41,153337
1189,38ee5db6-4dc9-4f46-acef-f1ad8dea1dcd,12341145,45671097,LOAN,8,1593,2,19,286000
1190,b837f490-fa0b-48a6-8168-bf1e6e15f095,12341194,45671930,LOAN,8,2727,2,88,315000
1191,9e74f70d-aad2-4da3-a688-e1069cf71a9e,12341163,45671510,LOAN,7,1479,2,48,184000
1192,d3b9a253-f035-454d-bd1a-8f623aaaa91f,12341169,45671866,LOAN,7,1431,2,21,192000
1193,4e506a33-f031-4dac-9d30-31068223f7c5,12341173,45671695,LOAN,7,1709,2,16,130000
1194,c969ccf1-9074-4c9b-b6c8-54839fe3fd5e,12341222,45671530,LOAN,5,864,1,48,127000
1195,c7f84270-3ba6-4ffb-8e85-05f7965e26fd,12341094,45671802,LOAN,6,1456,2,44,148500
1196,383c3180-32dc-4976-932f-600aa859d8cd,12341225,45671971,LOAN,7,1726,3,13,311872
1197,2ebd921e-7368-4282-bceb-b97814f604ce,12341050,45671301,LOAN,8,3112,2,102,235000
1198,c6a50ded-9481-42b5-b722-d91af462a705,12341138,45671421,LOAN,6,2229,0,108,104000
1199,3d66e81f-4555-4934-973d-f9363fef6dba,12341152,45671041,LOAN,8,1713,3,16,274900
1200,02fa5e2b-0858-407f-a38e-ab323766b39d,12341024,45671441,LOAN,4,1121,2,17,140000
1201,2833749b-c77b-42ba-b0d0-9b9372ed056b,12341220,45671711,LOAN,6,1279,2,43,171500
1202,f39476b6-288e-4668-bdf6-fbf2eee06824,12341098,45671372,LOAN,6,1310,1,96,112000
1203,bf536036-20b8-4c88-b916-352c1bd8e5bb,12341041,45671673,LOAN,6,848,2,16,149000
1204,885f1cc9-42cc-473d-9e72-fda801a52862,12341204,45671090,LOAN,5,1284,1,73,110000
1205,61abd18a-1b51-49f1-b219-3adfecfc522c,12341140,45671285,LOAN,7,1442,2,30,180500
1206,15b08f49-542d-470b-9c47-a3d5a14681e3,12341018,45671514,LOAN,5,1696,1,58,143900
1207,f7ab8319-4904-40b4-8c6c-4ae932e16cea,12341216,45671169,LOAN,4,1100,1,60,141000
1208,3fae720a-e343-4cf8-8253-50cc2782139d,12341243,45671032,LOAN,7,2062,2,32,277000
1209,5aea2de3-869f-4f87-96fa-7780d38f8a28,12341077,45671887,LOAN,6,1092,2,56,145000
1210,ce108f16-5d72-4356-aff8-9b7696cd24fe,12341156,45671600,LOAN,5,864,0,95,98000
1211,6ea0759b-f924-4efe-96ed-5d36671e3655,12341004,45671711,LOAN,6,1212,2,11,186000
1212,cc6f87f7-fba0-47f7-a84e-10378b21ec07,12341234,45671491,LOAN,7,1852,2,11,252678
1213,7d3a6e1d-d749-4bdd-b9a1-d3011012465e,12341245,45671296,LOAN,5,990,2,25,156000
1214,d132462b-d564-43af-af70-be633219926a,12341244,45671630,LOAN,6,1392,1,43,161750
1215,fb0c7d44-faf0-4aa7-8d2b-f51b8e4e50ce,12341083,45671230,LOAN,5,1236,1,63,134450
1216,eb02fa18-f129-4415-8e87-5568b4ee203a,12341170,45671882,LOAN,7,1436,2,16,210000
1217,3b02ee3a-cea9-4235-afa6-f3b3c2c6a347,12341095,45671941,LOAN,4,1328,1,95,107000
1218,a8ed5061-2662-4946-a4b3-02d5dd28508f,12341100,45671382,LOAN,7,1954,2,81,311500
1219,9d35f1a4-b3c5-487b-ab58-2699ae798623,12341238,45671155,LOAN,7,1248,2,15,167240
1220,11a3a749-776d-4fc6-9e14-751478a79e2a,12341073,45671849,LOAN,7,1498,2,14,204900
1221,8f68fc35-e2a8-4286-a17b-56a39b6ea4e7,12341040,45671726,LOAN,6,2267,2,18,200000
1222,eb2a9beb-906e-4b66-bad6-1ef3ce27a70d,12341128,45671286,LOAN,6,1552,2,45,179900
1223,ed33a5ab-2a97-4391-94bc-a0d8dcbdb781,12341081,45671456,LOAN,4,864,2,49,97000
1224,eb3736a7-574d-4ece-8f16-65e29c5bb0d1,12341055,45671172,LOAN,10,2392,3,17,386250
1225,d0a32e09-26fd-4638-9bcb-934840188c02,12341181,45671252,LOAN,5,1302,1,49,112000
1226,c542f668-e086-4bad-8018-b8080ecb358f,12341246,45671272,LOAN,7,2520,3,25,290000
1227,56fcbc51-d83d-4dcc-b12f-3d8552250982,12341077,45671677,LOAN,6,987,1,50,106000
1228,afa8e046-1d91-4c1e-9027-75c6f691017f,12341150,45671680,LOAN,5,912,1,53,125000
1229,594d53cd-637c-417d-af26-e282d2df2d9b,12341235,45671194,LOAN,7,1555,2,15,192500
1230,fee22e62-23e7-4599-bd61-7a7a87518092,12341038,45671206,LOAN,6,1194,1,61,148000
1231,0acc97c1-e943-4822-a2ff-6742bc2ed603,12341143,45671020,LOAN,8,2794,3,25,403000
1232,51f054fc-3278-4dea-9d00-2762e53f7079,12341169,45671875,LOAN,6,987,1,48,94500
1233,625eccd7-2fa2-47e6-958e-0e04f12c45c4,12341036,45671780,LOAN,5,894,1,44,128200
1234,159bff49-7542-4cb1-91a3-f5b2dfc67145,12341188,45671450,LOAN,6,1960,2,18,216500
1235,05d55040-f653-4199-9c68-608a8b627241,12341219,45671115,LOAN,6,987,1,49,89500
1236,f0ba25d6-6003-4f14-81e8-c2c3b39b3f1c,12341198,45671193,LOAN,7,1414,2,16,185500
1237,b544e52a-babc-4da0-955a-c790dae24a72,12341040,45671009,LOAN,7,1744,2,27,194500
1238,a13f0d87-1d87-4957-b7e0-7d0744843544,12341082,45671132,LOAN,8,1694,3,13,318000
1239,e68e36b9-c9a2-452e-b809-85d2d991c41a,12341075,45671658,LOAN,6,1487,1,75,113000
1240,66d8e035-1948-4cbf-9172-b7e599f7abb2,12341143,45671443,LOAN,8,1566,2,12,262500
1241,53dc621f-00ad-4689-a9c4-72de0e8b5887,12341196,45671220,LOAN,5,866,0,75,110500
1242,347f7db5-d65a-4ca8-b50c-e3ac3b213a38,12341082,45671699,LOAN,5,1440,1,120,79000
1243,1a3ded37-c236-4385-82d3-8d96d4e8cdea,12341012,45671208,LOAN,6,1217,1,40,120000
1244,d81aac6e-feab-4a90-afa5-a87b73a20cfc,12341115,45671434,LOAN,7,2110,2,26,205000
1245,e4750ca1-8324-406d-a1df-c388ff5d2477,12341013,45671220,LOAN,7,1872,2,32,241500
1246,92688f28-1402-4b81-89b0-e831453b2968,12341108,45671685,LOAN,6,1928,1,110,137000
1247,d3bbeb92-0bd4-4b79-92c9-b33ef2cef185,12341105,45671256,LOAN,6,1375,2,66,140000
1248,b5c8c823-10b7-4c1f-a5c3-d4414bec7c12,12341130,45671060,LOAN,7,1668,2,17,180000
1249,c5f16915-74f3-48b5-9726-a10bfc014582,12341066,45671514,LOAN,6,2144,2,62,277000
1250,50b56c42-89c1-48cc-aedf-f611f5e9bbeb,12341150,45671999,LOAN,3,1306,0,80,76500
1251,46b93827-5c3e-4e93-a0ed-1f2c77e4f99b,12341160,45671560,LOAN,8,1625,2,14,235000
